,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_0
136,136,110.0,0.059,0.235,0.235,0.0,0.235,0.235,4.822835671
137,137,169.0,0.048,0.238,0.238,0.238,0.238,0.238,4.822835671
138,138,768.0,0.4,0.133,0.067,0.133,0.2,0.067,4.822835671
139,139,639.0,0.222,0.222,0.222,0.111,0.222,0.0,4.822835671
140,140,644.0,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0.0,4.822835671
141,141,617.0,0.167,0.167,0.333,0.0,0.167,0.167,4.822835671
142,142,644.0,0.429,0.143,0.143,0.143,0.143,0.0,4.822835671
143,143,150.0,0.0,0.1,0.225,0.225,0.225,0.225,4.822835671
144,144,109.0,0.0,0.143,0.143,0.0,0.571,0.143,4.822835671
145,145,799.0,0.47,0.13,0.13,0.05,0.12,0.1,4.822835671
146,146,699.0,0.34,0.17,0.34,0.0,0.05,0.1,4.822835671
147,147,604.0,0.38,0.11,0.06,0.09,0.31,0.05,4.822835671
148,148,537.0,0.167,0.167,0.167,0.083,0.25,0.167,4.822835671
149,149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,4.822835671
150,150,637.2,0.238,0.238,0.238,0.0,0.048,0.238,4.822835671
151,151,603.0,0.365,0.159,0.159,0.159,0.159,0.0,4.822835671
152,152,207.0,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.0,4.822835671
