,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_39
107,699,0.29,0.22,0.34,0,0.05,0.1,6.857383754
108,749,0.47,0.07,0.16,0.09,0.16,0.05,7.898326633
109,828,0.43,0.14,0.21,0.05,0.12,0.05,8.224019764
110,849,0.47,0.18,0.15,0.05,0.1,0.05,8.291703031
111,883,0.47,0.2,0.18,0.05,0.05,0.05,8.550752615
112,864,0.43,0.18,0.2,0,0.12,0.07,8.590652749
113,841,0.47,0.17,0.16,0.05,0.1,0.05,8.378347239
114,882,0.43,0.22,0.22,0,0.08,0.05,8.688493668
115,883,0.43,0.22,0.23,0,0.07,0.05,8.723350348
116,828,0.43,0.2,0.21,0,0.09,0.07,8.656612195
117,848,0.43,0.22,0.25,0,0.05,0.05,8.735828077
118,878,0.47,0.19,0.19,0.05,0.05,0.05,8.62869562
119,782,0.43,0.29,0.18,0,0.05,0.05,8.409861873
120,865,0.43,0.25,0.22,0,0.05,0.05,8.688482986
121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,8.554823614
122,117,0.07,0.233,0.233,0,0.233,0.233,2.073768714
123,228,0.13,0.217,0.217,0,0.217,0.217,3.138888577
124,135.3,0.025,0.25,0.225,0,0.25,0.25,1.647494324
125,147.2,0.05,0.25,0.2,0,0.25,0.25,1.635684797
126,175.3,0.075,0.25,0.175,0,0.25,0.25,1.732261602
127,190.4,0.1,0.25,0.15,0,0.25,0.25,1.951394217
128,210.6,0.125,0.25,0.125,0,0.25,0.25,2.288082692
129,250.3,0.15,0.25,0.1,0,0.25,0.25,2.718359191
130,314.1,0.175,0.25,0.075,0,0.25,0.25,3.204863841
131,386.5,0.2,0.25,0.05,0,0.25,0.25,3.706644074
132,486.3,0.225,0.25,0.025,0,0.25,0.25,4.184723672
133,418,0.182,0.182,0.182,0.182,0.091,0.182,4.546179988
134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,3.423484162
135,694,0.429,0.071,0.143,0.071,0.143,0.143,7.582673212
136,110,0.059,0.235,0.235,0,0.235,0.235,1.967682643
137,169,0.048,0.238,0.238,0.238,0.238,0.238,1.784761005
138,768,0.4,0.133,0.067,0.133,0.2,0.067,6.086776999
139,639,0.222,0.222,0.222,0.111,0.222,0,5.339484605
140,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,6.423354483
141,617,0.167,0.167,0.333,0,0.167,0.167,5.232008746
142,644,0.429,0.143,0.143,0.143,0.143,0,6.427130477
143,150,0,0.1,0.225,0.225,0.225,0.225,1.265458313
144,109,0,0.143,0.143,0,0.571,0.143,1.163178251
145,799,0.47,0.13,0.13,0.05,0.12,0.1,8.190522572
146,699,0.34,0.17,0.34,0,0.05,0.1,7.295593453
147,604,0.38,0.11,0.06,0.09,0.31,0.05,6.388139306
148,537,0.167,0.167,0.167,0.083,0.25,0.167,4.289057707
149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,3.63278382
150,637.2,0.238,0.238,0.238,0,0.048,0.238,5.873714475
151,603,0.365,0.159,0.159,0.159,0.159,0,5.627571074
152,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,3.313942902
