,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_9
50,131,0.086,0.229,0.229,0,0.229,0.229,3.244053731
51,740,0.429,0.143,0.143,0,0.143,0.143,7.328599874
52,472,0.1,0,0.35,0.25,0.05,0.25,4.140355774
53,172,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,1.92500354
54,170,0.057,0,0.189,0.189,0.189,0.377,2.436007003
55,545,0.222,0.111,0,0.222,0.222,0.222,4.202406556
56,415,0.2,0.2,0.2,0.2,0,0.2,4.596144111
57,475,0.206,0.159,0.159,0.159,0.159,0.159,4.351423814
58,242,0.143,0.143,0.143,0,0.143,0.429,3.351447704
59,451,0.167,0.25,0.167,0.083,0.167,0.167,3.849644152
60,475,0.05,0.317,0.317,0,0.317,0,3.425293822
61,370,0.185,0,0.185,0.185,0.185,0.259,4.248553791
62,702,0.462,0.154,0.077,0.077,0.154,0.077,7.529375439
63,168,0.053,0.211,0.211,0,0.263,0.263,2.582698167
64,166,0.143,0.429,0,0.143,0.143,0.143,3.072772054
65,459,0.13,0,0.28,0.22,0.06,0.31,4.376946802
66,546,0.231,0,0.154,0.154,0.154,0.308,4.673918711
67,558,0.265,0.147,0.147,0.147,0.147,0.147,5.110764964
68,593,0.333,0,0.133,0.133,0.133,0.267,5.98079158
69,125,0,0.2,0.2,0,0.2,0.4,1.706612205
70,695,0.2,0.267,0.267,0,0.267,0,5.267748911
71,473,0.182,0.091,0.182,0.182,0.182,0.182,4.180622723
72,278,0.107,0,0.179,0.179,0.179,0.357,3.076970527
73,155,0,0.2,0.2,0.2,0.2,0.2,1.706612205
74,161,0,0.213,0.15,0.213,0.213,0.213,1.319246137
75,495,0.11,0,0.29,0.29,0.05,0.26,4.163228405
76,430,0.25,0.25,0,0,0.25,0.25,4.598349232
77,573,0.273,0,0.182,0.182,0.182,0.182,5.469617524
78,587,0.225,0.225,0.225,0,0.1,0.225,5.198444918
79,544,0.265,0,0.147,0.147,0.147,0.294,5.110764964
80,146,0,0.05,0.238,0.238,0.238,0.238,2.088232157
81,476,0.225,0.225,0.1,0,0.225,0.225,4.344359242
82,185,0.057,0.189,0.189,0.189,0.189,0.189,2.436007003
83,225,0.125,0.125,0.125,0,0.125,0.5,3.002870303
84,407,0.2,0.2,0.2,0.2,0.2,0,4.596144111
85,154,0,0.25,0,0.25,0.25,0.25,1
86,158,0,0.15,0.213,0.213,0.213,0.213,1.831983489
87,335,0.167,0.167,0.167,0,0.167,0.333,3.849644152
88,170,0,0.283,0.283,0,0.283,0.15,2.515252929
89,665,0.238,0.238,0.238,0,0.05,0.238,5.517219039
90,558,0.213,0.213,0.213,0,0.15,0.213,4.906574623
91,655,0.15,0.283,0.283,0,0.283,0,4.688745184
92,238,0.091,0,0.182,0.182,0.182,0.364,2.869843258
93,339,0.153,0,0.169,0.169,0.169,0.339,3.663218085
94,567,0.286,0,0.143,0.143,0.143,0.286,5.381905823
95,811,0.46,0.14,0.23,0.05,0.07,0.05,8.462103623
96,790,0.44,0.14,0.22,0.05,0.09,0.06,8.097396188
97,855,0.43,0.19,0.24,0,0.08,0.06,8.172147054
98,856,0.43,0.18,0.24,0,0.1,0.05,8.172147054
99,859,0.47,0.14,0.2,0.05,0.09,0.05,8.293584468
100,875,0.43,0.24,0.22,0,0.05,0.06,7.965497671
101,868,0.43,0.24,0.23,0,0.05,0.05,8.068279699
102,843,0.47,0.12,0.2,0.05,0.11,0.05,8.293584468
103,794,0.43,0.15,0.17,0.05,0.14,0.06,7.517140798
104,783,0.42,0.1,0.3,0.05,0.07,0.06,8.55920088
105,797,0.47,0.11,0.22,0.05,0.1,0.05,8.489322293
106,805,0.47,0.13,0.2,0.05,0.1,0.05,8.293584468
107,699,0.29,0.22,0.34,0,0.05,0.1,6.871173141
108,749,0.47,0.07,0.16,0.09,0.16,0.05,7.970092201
109,828,0.43,0.14,0.21,0.05,0.12,0.05,7.865523351
110,849,0.47,0.18,0.15,0.05,0.1,0.05,7.906218399
111,883,0.47,0.2,0.18,0.05,0.05,0.05,8.118737901
112,864,0.43,0.18,0.2,0,0.12,0.07,7.769759846
113,841,0.47,0.17,0.16,0.05,0.1,0.05,7.970092201
114,882,0.43,0.22,0.22,0,0.08,0.05,7.965497671
115,883,0.43,0.22,0.23,0,0.07,0.05,8.068279699
116,828,0.43,0.2,0.21,0,0.09,0.07,7.865523351
117,848,0.43,0.22,0.25,0,0.05,0.05,8.275077129
118,878,0.47,0.19,0.19,0.05,0.05,0.05,8.203118166
119,782,0.43,0.29,0.18,0,0.05,0.05,7.594913279
120,865,0.43,0.25,0.22,0,0.05,0.05,7.965497671
121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,7.921424868
122,117,0.07,0.233,0.233,0,0.233,0.233,3.05354357
123,228,0.13,0.217,0.217,0,0.217,0.217,3.757447393
124,135.3,0.025,0.25,0.225,0,0.25,0.25,2.317063195
125,147.2,0.05,0.25,0.2,0,0.25,0.25,2.433530667
126,175.3,0.075,0.25,0.175,0,0.25,0.25,2.581840047
127,190.4,0.1,0.25,0.15,0,0.25,0.25,2.771266142
128,210.6,0.125,0.25,0.125,0,0.25,0.25,3.002870303
129,250.3,0.15,0.25,0.1,0,0.25,0.25,3.272896932
130,314.1,0.175,0.25,0.075,0,0.25,0.25,3.57521239
131,386.5,0.2,0.25,0.05,0,0.25,0.25,3.902510384
132,486.3,0.225,0.25,0.025,0,0.25,0.25,4.246602098
133,418,0.182,0.182,0.182,0.182,0.091,0.182,4.180622723
134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,3.757447393
135,694,0.429,0.071,0.143,0.071,0.143,0.143,7.328599874
136,110,0.059,0.235,0.235,0,0.235,0.235,2.91467336
137,169,0.048,0.238,0.238,0.238,0.238,0.238,2.78609668
138,768,0.4,0.133,0.067,0.133,0.2,0.067,6.694671447
139,639,0.222,0.222,0.222,0.111,0.222,0,5.125138945
140,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,7.322138006
141,617,0.167,0.167,0.333,0,0.167,0.167,5.135797249
142,644,0.429,0.143,0.143,0.143,0.143,0,7.328599874
143,150,0,0.1,0.225,0.225,0.225,0.225,1.953490354
144,109,0,0.143,0.143,0,0.571,0.143,1.278675651
145,799,0.47,0.13,0.13,0.05,0.12,0.1,7.799136199
146,699,0.34,0.17,0.34,0,0.05,0.1,7.562540623
147,604,0.38,0.11,0.06,0.09,0.31,0.05,6.417078576
148,537,0.167,0.167,0.167,0.083,0.25,0.167,3.849644152
149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,3.688917958
150,637.2,0.238,0.238,0.238,0,0.048,0.238,5.517219039
151,603,0.365,0.159,0.159,0.159,0.159,0,6.568040926
152,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,3.537728016
