,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
131,98,200.0,0.074,0.0,0.185,0.185,0.185,0.37
132,160,158.0,0.0,0.15,0.213,0.213,0.213,0.213
133,167,339.0,0.153,0.0,0.169,0.169,0.169,0.339
134,196,783.0,0.42,0.1,0.3,0.05,0.07,0.06
135,158,407.0,0.2,0.2,0.2,0.2,0.2,0.0
136,99,310.0,0.154,0.154,0.154,0.077,0.154,0.308
137,117,451.0,0.167,0.25,0.167,0.083,0.167,0.167
138,96,157.0,0.0,0.167,0.167,0.167,0.333,0.167
139,198,805.0,0.47,0.13,0.2,0.05,0.1,0.05
140,202,849.0,0.47,0.18,0.15,0.05,0.1,0.05
141,66,171.0,0.0,0.213,0.213,0.213,0.15,0.213
142,54,139.0,0.0,0.25,0.25,0.0,0.25,0.25
143,92,620.0,0.1,0.3,0.3,0.0,0.3,0.0
144,56,629.0,0.28,0.1,0.27,0.1,0.05,0.2
145,100,625.0,0.333,0.133,0.133,0.133,0.133,0.133
146,1,469.0,0.11,0.0,0.28,0.27,0.06,0.28
147,250,386.5,0.2,0.25,0.05,0.0,0.25,0.25
