,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
127,247,210.6,0.125,0.25,0.125,0.0,0.25,0.25
128,138,207.0,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.0
129,46,617.0,0.167,0.167,0.333,0.0,0.167,0.167
130,57,290.0,0.123,0.0,0.175,0.175,0.175,0.351
131,44,175.0,0.0,0.333,0.167,0.167,0.167,0.167
132,206,882.0,0.43,0.22,0.22,0.0,0.08,0.05
133,139,459.0,0.13,0.0,0.28,0.22,0.06,0.31
134,131,517.0,0.272727273,0.181818182,0.181818182,0.0,0.181818182,0.181818182
135,190,856.0,0.43,0.18,0.24,0.0,0.1,0.05
136,163,665.0,0.238,0.238,0.238,0.0,0.05,0.238
137,121,168.0,0.053,0.211,0.211,0.0,0.263,0.263
138,103,170.0,0.0,0.225,0.225,0.225,0.225,0.1
139,53,441.0,0.1,0.0,0.35,0.24,0.05,0.26
140,210,878.0,0.47,0.19,0.19,0.05,0.05,0.05
141,127,205.0,0.143,0.286,0.0,0.0,0.286,0.286
142,168,567.0,0.286,0.0,0.143,0.143,0.143,0.286
143,58,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0
144,158,407.0,0.2,0.2,0.2,0.2,0.2,0.0
145,40,576.0,0.286,0.143,0.143,0.143,0.143,0.143
146,60,392.0,0.167,0.0,0.167,0.167,0.167,0.333
147,61,315.0,0.138,0.0,0.172,0.172,0.172,0.345
