,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
146,146,451.0,0.167,0.25,0.167,0.083,0.167,0.167
147,147,546.0,0.2,0.2,0.1,0.1,0.2,0.2
148,148,607.0,0.154,0.154,0.308,0.077,0.154,0.154
149,149,537.0,0.167,0.167,0.167,0.083,0.25,0.167
150,150,514.0,0.154,0.154,0.154,0.077,0.308,0.154
151,151,604.0,0.2,0.2,0.2,0.1,0.2,0.1
152,152,639.0,0.222,0.222,0.222,0.111,0.222,0.0
153,153,534.0,0.222,0.0,0.222,0.111,0.222,0.222
154,154,609.0,0.308,0.154,0.154,0.077,0.154,0.154
155,155,551.0,0.2,0.1,0.2,0.1,0.2,0.2
156,156,382.0,0.111,0.0,0.222,0.222,0.222,0.222
157,157,573.0,0.273,0.0,0.182,0.182,0.182,0.182
158,158,651.0,0.333,0.0,0.167,0.167,0.167,0.167
159,159,135.0,0.077,0.308,0.0,0.0,0.308,0.308
160,160,205.0,0.143,0.286,0.0,0.0,0.286,0.286
161,161,380.0,0.2,0.267,0.0,0.0,0.267,0.267
162,162,280.0,0.08,0.17,0.17,0.08,0.17,0.33
163,163,580.0,0.23,0.15,0.23,0.08,0.15,0.16
164,164,371.0,0.167,0.0,0.556,0.0,0.0,0.278
165,165,450.0,0.118,0.0,0.294,0.0,0.441,0.147
166,166,304.0,0.063,0.0,0.313,0.0,0.469,0.156
167,167,695.0,0.385,0.154,0.154,0.0,0.154,0.154
168,168,740.0,0.429,0.143,0.143,0.0,0.143,0.143
169,169,207.0,0.091,0.182,0.182,0.182,0.182,0.182
170,170,576.0,0.286,0.143,0.143,0.143,0.143,0.143
171,171,415.0,0.2,0.2,0.2,0.2,0.0,0.2
172,172,602.0,0.25,0.167,0.167,0.083,0.167,0.167
173,173,155.0,0.0,0.2,0.2,0.2,0.2,0.2
174,174,139.0,0.0,0.25,0.25,0.0,0.25,0.25
175,175,430.0,0.25,0.25,0.0,0.0,0.25,0.25
176,176,516.0,0.2,0.2,0.2,0.0,0.2,0.2
177,177,764.0,0.43,0.06,0.33,0.06,0.06,0.06
178,178,591.0,0.429,0.143,0.071,0.071,0.071,0.214
179,179,701.0,0.429,0.214,0.071,0.071,0.071,0.143
180,180,768.0,0.4,0.133,0.067,0.133,0.2,0.067
181,181,702.0,0.462,0.154,0.077,0.077,0.154,0.077
182,182,720.0,0.429,0.143,0.143,0.071,0.071,0.143
183,183,694.0,0.429,0.071,0.143,0.071,0.143,0.143
184,184,149.0,0.07,0.0,0.233,0.0,0.233,0.465
185,185,229.0,0.111,0.0,0.222,0.0,0.222,0.444
186,186,459.0,0.13,0.0,0.28,0.22,0.06,0.31
187,187,469.0,0.12,0.0,0.31,0.21,0.05,0.31
188,188,483.0,0.12,0.0,0.31,0.2,0.05,0.32
189,189,472.0,0.1,0.0,0.35,0.25,0.05,0.25
190,190,454.0,0.1,0.0,0.35,0.26,0.05,0.24
191,191,441.0,0.1,0.0,0.35,0.24,0.05,0.26
192,192,495.0,0.11,0.0,0.29,0.29,0.05,0.26
193,193,477.0,0.11,0.0,0.28,0.29,0.07,0.25
194,194,469.0,0.11,0.0,0.28,0.27,0.06,0.28
195,195,851.5,0.445,0.22,0.195,0.025,0.065,0.05
196,196,117.0,0.07,0.233,0.233,0.0,0.233,0.233
197,197,228.0,0.13,0.217,0.217,0.0,0.217,0.217
198,198,458.0,0.167,0.167,0.167,0.167,0.167,0.167
199,199,581.7,0.333,0.167,0.167,0.0,0.167,0.167
200,200,430.9,0.222,0.222,0.0,0.222,0.222,0.111
201,201,420.0,0.208,0.208,0.0,0.208,0.208,0.167
202,202,323.8,0.182,0.182,0.0,0.182,0.182,0.273
203,203,299.2,0.167,0.167,0.0,0.167,0.167,0.333
204,204,279.6,0.143,0.143,0.0,0.143,0.143,0.429
205,205,305.4,0.18,0.3,0.1,0.0,0.1,0.32
206,206,183.0,0.157,0.189,0.189,0.189,0.189,0.189
207,207,110.0,0.159,0.235,0.235,0.0,0.235,0.235
208,208,162.0,0.138,0.0,0.192,0.192,0.192,0.385
209,209,170.0,0.157,0.0,0.189,0.189,0.189,0.377
210,210,304.0,0.163,0.0,0.313,0.0,0.469,0.156
211,211,134.0,0.0,0.25,0.25,0.25,0.25,0.0
212,212,180.0,0.07,0.233,0.233,0.233,0.233,0.0
213,213,207.0,0.111,0.222,0.222,0.222,0.222,0.0
214,214,271.0,0.167,0.208,0.208,0.208,0.208,0.0
215,215,476.0,0.245,0.189,0.189,0.189,0.189,0.0
216,216,510.0,0.273,0.182,0.182,0.182,0.182,0.0
217,217,557.0,0.31,0.172,0.172,0.172,0.172,0.0
218,218,567.0,0.333,0.167,0.167,0.167,0.167,0.0
219,219,603.0,0.365,0.159,0.159,0.159,0.159,0.0
220,220,624.0,0.385,0.154,0.154,0.154,0.154,0.0
221,221,657.0,0.412,0.147,0.147,0.147,0.147,0.0
222,222,644.0,0.429,0.143,0.143,0.143,0.143,0.0
223,223,135.3,0.025,0.25,0.225,0.0,0.25,0.25
224,224,147.2,0.05,0.25,0.2,0.0,0.25,0.25
225,225,175.3,0.075,0.25,0.175,0.0,0.25,0.25
226,226,190.4,0.1,0.25,0.15,0.0,0.25,0.25
227,227,210.6,0.125,0.25,0.125,0.0,0.25,0.25
228,228,250.3,0.15,0.25,0.1,0.0,0.25,0.25
229,229,314.1,0.175,0.25,0.075,0.0,0.25,0.25
230,230,386.5,0.2,0.25,0.05,0.0,0.25,0.25
231,231,486.3,0.225,0.25,0.025,0.0,0.25,0.25
232,232,340.0,0.206,0.159,0.159,0.0,0.159,0.317
233,233,240.7,0.095,0.19,0.19,0.143,0.19,0.19
234,234,240.78,0.1,0.2,0.2,0.1,0.2,0.2
235,235,312.54,0.135,0.192,0.192,0.096,0.192,0.192
236,236,341.09,0.143,0.19,0.19,0.095,0.19,0.19
237,237,375.23,0.15,0.2,0.2,0.05,0.2,0.2
238,238,403.25,0.152,0.19,0.19,0.086,0.19,0.19
239,239,560.11,0.17,0.189,0.189,0.075,0.189,0.189
240,240,578.26,0.196,0.196,0.196,0.196,0.196,0.196
241,241,375.0,0.167,0.167,0.167,0.333,0.167,0.167
242,242,637.2,0.238,0.238,0.238,0.0,0.048,0.238
243,243,165.03,0.05,0.225,0.25,0.225,0.0,0.25
244,244,124.0,0.0,0.2,0.2,0.0,0.4,0.2
245,245,109.0,0.0,0.143,0.143,0.0,0.571,0.143
246,246,115.0,0.0,0.167,0.167,0.0,0.5,0.167
247,247,245.8,0.13,0.217,0.217,0.217,0.217,0.217
248,248,169.0,0.048,0.238,0.238,0.238,0.238,0.238
249,249,516.6,0.259,0.185,0.185,0.0,0.185,0.185
250,250,193.0,0.133,0.333,0.0,0.2,0.0,0.333
251,251,396.0,0.167,0.167,0.167,0.167,0.167,0.333
252,252,510.0,0.273,0.182,0.182,0.0,0.182,0.182
253,253,407.0,0.2,0.2,0.2,0.2,0.2,0.0
