,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_19
131,131,386.5,0.2,0.25,0.05,0.0,0.25,0.25,4.026211085
132,132,486.3,0.225,0.25,0.025,0.0,0.25,0.25,4.31745356
133,133,418.0,0.182,0.182,0.182,0.182,0.091,0.182,4.492955011
134,134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,3.645854902
135,135,694.0,0.429,0.071,0.143,0.071,0.143,0.143,7.759982543
136,136,110.0,0.059,0.235,0.235,0.0,0.235,0.235,2.252715867
137,137,169.0,0.048,0.238,0.238,0.238,0.238,0.238,2.163417134
138,138,768.0,0.4,0.133,0.067,0.133,0.2,0.067,6.499760096
139,139,639.0,0.222,0.222,0.222,0.111,0.222,0.0,5.472540746
140,140,644.0,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0.0,7.029775827
141,141,617.0,0.167,0.167,0.333,0.0,0.167,0.167,4.980841574
142,142,644.0,0.429,0.143,0.143,0.143,0.143,0.0,7.033669142
143,143,150.0,0.0,0.1,0.225,0.225,0.225,0.225,1.447084728
144,144,109.0,0.0,0.143,0.143,0.0,0.571,0.143,1.322426835
145,145,799.0,0.47,0.13,0.13,0.05,0.12,0.1,8.252342779
146,146,699.0,0.34,0.17,0.34,0.0,0.05,0.1,7.589472576
147,147,604.0,0.38,0.11,0.06,0.09,0.31,0.05,6.611061266
148,148,537.0,0.167,0.167,0.167,0.083,0.25,0.167,4.413905166
149,149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,3.952535222
150,150,637.2,0.238,0.238,0.238,0.0,0.048,0.238,5.43598232
151,151,603.0,0.365,0.159,0.159,0.159,0.159,0.0,6.297717903
152,152,207.0,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.0,3.870778566
